"Year","Rank","Name","Nat","Race","Date","Yards"
"All Time","1","Phil Gore","AUS","Dead Cow Gully Backyard Ultra","6/21/2025","119*"
"All Time","2","Sam Harvey","NZL","Dead Cow Gully Backyard Ultra","6/21/2025","118+"
"All Time","3","Lukasz Wrobel","POL","Legends Backyard Belgium","4/26/2025","116*"
"All Time","4","Jan Vandekerckhove","BEL","Legends Backyard Belgium","4/26/2025","115+"
"All Time","5 (tie)","Ivo Steyaert","BEL","Backyard Ultra - World Team Championship 2024 - BEL","10/19/2024","110+"
"All Time","5 (tie)","Merijn Geerts","BEL","Backyard Ultra - World Team Championship 2024 - BEL","10/19/2024","110+"
"All Time","5 (tie)","Frank Gielen","BEL","Backyard Ultra - World Team Championship 2024 - BEL","10/19/2024","110+"
"All Time","8","Harvey Lewis","USA","Big Dog's Backyard Ultra - World Individual Championship","10/21/2023","108*"
"All Time","9","Ihor Verys","CAN","Big Dog's Backyard Ultra - World Individual Championship","10/21/2023","107+"
"All Time","10","Ivan Zaborsky","RUS","Backyard Biotropika Ultra Trail","7/25/2025","106*"
"All Time","11","Petr Zharikov","RUS","Backyard Biotropika Ultra Trail","7/25/2025","105+"
"All Time","12","Bartosz Fudali","POL","Big Dog's Backyard Ultra - World Individual Championship","10/21/2023","103"
"All Time","13","Oriol Antoli Sarrau","ESP","Dead Cow Gully Backyard Ultra","6/21/2025","102"
"All Time","14","Terumichi Morishita","JPN","Big Dog's Backyard Ultra - World Individual Championship","10/21/2023","101"
"All Time","15 (tie)","Kenneth Vanthuyne","BEL","Backyard Ultra - World Team Championship 2024 - BEL","10/19/2024","100"
"All Time","15 (tie)","Jonathan Ash","AUS","Dead Cow Gully Backyard Ultra","6/21/2025","100"
"All Time","17","Jon Noll","USA","Big Dog's Backyard Ultra - World Individual Championship","10/21/2023","98"
"All Time","18","Ryan Crawford","AUS","Backyard Ultra - World Team Championship 2024 - AUS","10/19/2024","95+"
"All Time","19 (tie)","Michitaro Mizuno","JPN","Dead Cow Gully Backyard Ultra","6/21/2025","94"
"All Time","19 (tie)","Michael Zaruba","RUS","Backyard Biotropika Ultra Trail","7/25/2025","94"
"All Time","21 (tie)","Kazuhiro Kawahata","JPN","Backyard Ultra - World Team Championship 2024 - JPN","10/19/2024","92*"
"All Time","21 (tie)","Brecht Vandamme","BEL","Backyard Ultra - World Team Championship 2024 - BEL","10/19/2024","92"
"All Time","23","Tokimasa Hirata","JPN","Backyard Ultra - World Team Championship 2024 - JPN","10/19/2024","91+"
"All Time","24","Simon McLean","NZL","Dead Cow Gully Backyard Ultra","6/21/2025","90"
"All Time","25","Keith Russell","IRL","Backyard Masters","5/14/2022","89+"
"All Time","26","Scott Snell","USA","Backyard Ultra - World Team Championship 2024 - USA","10/19/2024","88*"
"All Time","27 (tie)","Matthew Blackburn","GBR","Suffolk Backyard Ultra","6/1/2024","87+"
"All Time","27 (tie)","Megan Eckert","USA","Backyard Ultra - World Team Championship 2024 - USA","10/19/2024","87+"
"All Time","29 (tie)","Daiki Shibawaki","JPN","Backyard Ultra - World Team Championship 2022 - JPN","10/15/2022","86*"
"All Time","29 (tie)","Alexey Belousov","RUS","Backyard Biotropika Ultra Trail","7/25/2025","86"
"All Time","31 (tie)","Yukinori Yoshida","JPN","Backyard Ultra - World Team Championship 2022 - JPN","10/15/2022","85+"
"All Time","31 (tie)","Matthias Pelgrims","BEL","Backyard Ultra - World Team Championship 2024 - BEL","10/19/2024","85"
"All Time","31 (tie)","Vadim Sharkov","RUS","Backyard Biotropika Ultra Trail","7/25/2025","85"
"All Time","34 (tie)","Chris Roberts","USA","Big Dog's Backyard Ultra","10/16/2021","84+"
"All Time","34 (tie)","Rob Parsons","AUS","Big Dog's Backyard Ultra - World Individual Championship","10/21/2023","84"
"All Time","34 (tie)","Nicolas Cointepas","FRA","Backyard Ultra - World Team Championship 2024 - FRA","10/19/2024","84*"
"All Time","37 (tie)","Akihiro Maeda","JPN","Big Dog's Backyard Ultra - World Individual Championship","10/21/2023","83"
"All Time","37 (tie)","Christophe Rouat","FRA","Backyard Ultra - World Team Championship 2024 - FRA","10/19/2024","83+"
"All Time","37 (tie)","Christophe Baud","FRA","Backyard Ultra - World Team Championship 2024 - FRA","10/19/2024","83+"
"All Time","40 (tie)","Hendrik Boury","GER","Suffolk Backyard Ultra","6/1/2024","82"
